DW_DATE_KEY|D_TRANSACTION_TYPE_KEY|DW_ACCOUNT_TYPE_KEY|AMOUNT
20121018|2|376|66813883.86
20121018|5|383|66813883.86
20121018|5|122|734323.8
20121018|2|321|61680.96
20121018|2|18|3400000000
20121018|2|104|94003151.3
20121018|5|234|1299504.27
20121018|5|79|4329921.99
20121018|2|355|200902
20121018|1|1|7497362152.35
20121018|5|6|1125789426.27
20121018|5|227|329217880.99
20121018|5|286|1583333.33
20121018|4|229|6660045
20121018|2|229|171538379.33
20121018|2|264|405574783.73
20121018|4|316|2226.55
20121018|5|258|691472947.62
20121018|2|258|607786560.6
20121018|2|237|649.23
20121018|5|9|4723175
20121018|5|313|2373734.1
20121018|5|87|1980108.29
20121018|5|311|213950.26
20121018|2|79|7.22
20121018|5|308|35608.67
20121018|3|8|4600000
20121018|4|7|200000000
20121018|5||921310535.98
20121018|1|118|2416694.49
20121018|5|314|192600
20121018|5|321|63037.94
20121018|5|120|16226795.18
20121018|5|23|4000000000
20121018|2|126|40000
20121018|2|125|16712116825.41
20121019|5|234|4217493.85
20121019|2|2|7840160
20121019|1|2|191615555
20121019|5|85|4747018.71
20121019|2|355|91260
20121019|5|255|204588684.26
20121019|2|10|743726.7
20121019|2|12|86218.81
20121019|2|224|621767.57
20121019|2|362|802482.11
20121019|2|121|122703155.3
20121019|5|11|418907.57
20121019|5|107|5314987.54
20121019|5|124|29281574.55
20121019|2|235|11145.43
20121019|5|122|780118.8
20121019|2|253|590625
20121019|5|288|96.02
20121019|5|83|780523.38
20121019|1|229|4000
20121019|5|18|3400000000
20121019|5|125|14009952233.7
20121019|2|239|181147.54
20121019|1|264|570510600
20121019|2|8|1767965372.66
20121019|5|228|4723046
20121019|2|281|1393146.21
20121019|5|250|27524316.94
20121019|2|14|8009005
20121019|5|97|952185.79
20121019|5|258|695205495.36
20121019|4|316|671.8
20121019|5|313|3900623.43
20121019|2|353|163660
20121019|1|316|255
20121019|3|8|2222997.94
20121019|2|115|203038494.77
20121019|2|228|11274.46
20121019|5||674439652.4
20121019|5|321|14600
20121019|2|338|13.23
20121019|5|118|2035824.48
20121019|2|91|27401.56
20121019|5|92|1385.13
20121019|5|312|133869.68
20121019|2|237|0.02
20121019|2|13|452995.45
20121019|2|345|15340
20121019|2|321|9988.4
20121019|2|384|297066.25
20121019|5|213|650000000
20121019|4|264|548474815
20121019|5|6|788158499.97
20121019|3|6|446024265.64
20121019|2|316|430781.88
20121019|5|121|170749712.1
20121019|4|261|18791143
20121019|1|258|536575673.36
20121019|2|258|453647187.21
20121019|4|353|4
20121019|2|124|63195872.73
20121019|2|7|13270640300.3
20121019|1|261|5092792.87
20121019|2|120|96095330.37
20121019|2||791916619
20121019|2|332|1822.06
20121019|2|247|1250
20121019|2|9|6005017.01
20121019|4|111|14000
20121019|2|23|2250000000
20121019|2|327|309.41
20121019|5|304|1295.15
20121019|2|260|12440212409.05
20121019|5|227|291014468.07
20121019|2|85|22449643.55
20121019|2|350|70900
20121019|4|2|31195055
20121019|2|6|337927196.15
20121019|5|292|1911.59
20121019|2|255|12587120
20121019|6|229|11668033.77
20121019|5|308|29656.46
20121019|5|115|248579331.82
20121019|3|115|50000
20121019|5|291|13389.79
20121019|2|94|1912.1
20121019|5|91|32945.9
20121019|2|104|99147988.18
20121019|5|16|2200000000
20121019|5|23|750000000
20121019|5|384|45300
20121019|5|2|93435500
20121019|5|264|761343781.65
20121019|4|1|6688752200.09
20121019|5|86|1459130.61
20121019|5|260|12420579151.56
20121019|2|349|944148
20121019|5|224|1004529.67
20121019|2|261|952996315.97
20121019|5|330|10671.29
20121019|2|229|218895522.55
20121019|5|307|460882.51
20121019|2|347|494244.92
20121019|5|235|385055.9
20121019|6|261|26988907.66
20121019|2|282|259.55
20121019|2|227|297231541.93
20121019|2|351|31632.5
20121019|5|120|114963481.84
20121019|4|126|60800
20121019|2|232|243.68
20121019|5|247|1822.06
20121019|5|95|631147.54
20121019|5|13|30460
20121019|5|303|9897483.66
20121019|5|350|700
20121019|4|124|847340
20121019|5|79|12957896.99
20121019|5|294|126912877.16
20121019|2|328|4192020.73
20121019|5|111|7229192.06
20121019|5|284|1547183.36
20121019|6|8|646196512.76
20121019|2|358|1856509.71
20121019|5|9|12376062.92
20121019|3|255|316877026.81
20121019|2|333|47784110.33
20121019|4|229|4452535
20121019|4|258|282079028.88
20121019|2|79|808.23
20121019|5|7|12483574409.7
20121019|2|313|700000
20121019|5|376|32073008.98
20121019|6|260|613075.16
20121019|2|284|2101.79
20121019|2|363|48000
20121019|2|131|25581710
20121019|5|314|138800
20121019|5|309|1485966.82
20121019|5|358|41823.15
20121019|2|18|3596000000
20121019|4|227|39000
20121019|2|213|650000000
20121019|2|234|41513413.05
20121019|2|264|590393352.16
20121019|1|1|6559034613.99
20121019|2|86|23057039.97
20121019|5|281|9759066.08
20121019|5|328|3054842.39
20121019|5|282|22537396.68
20121019|2|87|1541114.85
20121019|2|250|128743478.25
20121019|5|237|33.24
20121019|2|97|3093737.7
20121019|2|88|59169.37
20121019|2|337|33.22
20121019|2|236|6174105.42
20121019|6|258|10000000
20121019|2|354|672379
20121019|1|111|31550
20121019|5|229|73127994.74
20121019|5|8|878068369.96
20121019|5|1|32289100
20121019|5|232|243.68
20121019|5|327|955.97
20121019|2|106|1718516.65
20121019|5|293|1719999.73
20121019|1|118|4855614.52
20121019|2|118|71537.62
20121019|2|105|10678007.04
20121019|2|122|798582
20121019|5|87|90860.29
20121019|2|309|7693.97
20121019|5|377|297066.25
20121019|2|377|45300
20121019|2|93|96.02
20121019|5|316|23607630.29
20121019|2|111|16345153.56
20121019|2|336|543442.62
20121019|2|1|63129021
20121019|5|14|2235797
20121019|5|261|650773048.12
20121019|6|6|10104630
20121019|5|236|44833139.69
20121019|2|330|2351865.76
20121019|5|311|61251.76
20121019|2|356|2172950
20121019|2|329|385055.9
20121019|5|333|109942.15
20121019|4|7|180000000
20121019|5|362|19394.85
20121019|5|238|13.23
20121019|5|106|28087.61
20121019|2|92|13304.72
20121019|5|283|27401.56
20121019|5|104|282489707.17
20121019|2|125|14009952233.7
20121019|5|239|543442.62
20121019|4|118|152893.95
20121019|5|286|3093737.7
20121022|5|234|1324701.91
20121022|5|286|2639344.27
20121022|5|79|2868354.35
20121022|5|294|40845801.57
20121022|2|350|95800
20121022|5|227|146723313.05
20121022|2|88|19723.15
20121022|2|362|574077.6
20121022|2|337|11.58
20121022|5|260|26271526087.08
20121022|2|260|26275082198.74
20121022|2|227|246905158.22
20121022|2|86|8118367.53
20121022|4|264|577352000
20121022|4|316|1864.32
20121022|5|236|15049047.02
20121022|2|97|2639344.27
20121022|1|258|1071008714.44
20121022|2|353|145940
20121022|2|327|3764.92
20121022|5||1126898446.51
20121022|5|291|4457.44
20121022|5|122|1195648
20121022|5|23|850000000
